Task ID,Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline,Deadline Type,Dependency,Trigger
1,j0,Aperiodic,13,0,1,1.5,20,20,125,25,Soft,1,
2,j1,Aperiodic,14,0,1,1.5,20,20,125,25,Soft,2,
3,j2,Aperiodic,15,0,1,1.5,20,20,125,25,Soft,2;3,
4,j3,Aperiodic,16,0,1,1.5,20,20,125,25,Soft,4,
5,j4,Periodic,1,0,1,1.5,100,-1,-1,100,Hard,,
6,j5,Periodic,7,0,1,1.5,10,-1,-1,25,Hard,,
7,j6,Periodic,5,0,1,1.5,25,-1,-1,25,Hard,1,
8,j7,Periodic,6,0,2,3,10,-1,-1,35,Hard,,
9,j8,Periodic,2,0,2,3,125,-1,-1,70,Hard,,
10,j9,Periodic,4,0,1,1.5,30,-1,-1,30,Hard,3,
11,j10,Periodic,11,0,5,7.5,125,-1,-1,8,Hard,4,
12,j11,Periodic,10,0,1,1.5,10,-1,-1,15,Hard,,
13,j12,Periodic,12,0,2,3,50,-1,-1,7,Hard,,
14,j13,Periodic,9,0,7,10.5,125,-1,-1,15,Hard,,
15,j14,Periodic,8,0,1,1.5,10,-1,-1,8,Hard,,
16,j15,Periodic,3,0,4,6,50,-1,-1,35,Hard,,
