TaskID,Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline,Deadline Type
1,T1,Sporadic,200,0,0.2,0.3,10,10,10,10,Hard
2,T2,Periodic,190,0,0.5,0.6,50,0,0,50,Hard
3,T3,Periodic,180,0,0.4,0.5,100,0,0,100,Hard
4,T4,Periodic,179,0,0.1,0.2,100,0,0,100,Hard
5,T5,Periodic,178,0,2,2.1,100,0,0,100,Hard
6,T6,Sporadic,177,0,1,1.1,100,100,30000,100,Hard
7,T7,Sporadic,176,0,2,2.1,100,100,30000,100,Hard
8,T8,Sporadic,175,0,1,1.1,100,100,30000,100,Hard
9,T9,Sporadic,174,0,2,2.1,100,100,60000,100,Hard
10,T10,Sporadic,173,0,2,2.1,100,100,60000,100,Hard
11,T11,Sporadic,172,0,0.5,0.6,100,100,100,100,Hard
12,T12,Sporadic,171,0,0.5,0.6,100,100,100,100,Hard
13,T13,Periodic,170,0,0.5,0.6,100,0,0,100,Hard
14,T14,Periodic,160,0,0.3,0.4,200,0,0,100,Hard
15,T15,Periodic,150,0,0.2,0.3,250,0,0,250,Hard
16,T16,Periodic,149,0,15,15.1,250,0,0,250,Hard
17,T17,Periodic,130,0,0.5,0.6,500,0,0,500,Hard
18,T18,Periodic,120,0,0.5,0.6,1000,0,0,1000,Hard
19,T19,Periodic,119,0,1,1.1,1000,0,0,1000,Hard
20,T20,Periodic,118,0,0.5,0.6,1000,0,0,1000,Hard
21,T21,Periodic,117,0,0.5,0.6,1000,0,0,1000,Hard
22,T22,Periodic,116,0,0.1,0.2,1000,0,0,1000,Hard
23,T23,Periodic,110,0,0.5,1.1,2000,0,0,2000,Hard
24,T24,Aperiodic,100,0,0.6,0.6,100,100,200,100,Soft
25,T25,Aperiodic,99,0,0.6,0.6,100,3600000,3600000,100,Soft
26,T26,Aperiodic,98,0,0.6,0.6,100,3600000,3600000,100,Soft
27,T27,Aperiodic,97,0,0.3,0.3,250,250,60000,250,Soft
28,T28,Aperiodic,80,0,0.6,0.6,1000,1000,2000,1000,Soft
29,T29,Aperiodic,79,0,0.6,0.6,1000,1000,2000,1000,Soft
30,T30,Aperiodic,78,0,0.1,900,1000,1000,2000,1000,Soft
31,T31,Aperiodic,77,0,5.5,5.6,1000,1000,3600000,1000,Soft
32,T32,Aperiodic,76,0,0.6,0.6,1000,3600000,3600000,1000,Soft
33,T33,Aperiodic,70,0,0.1,20000,86400,86400,3600000,20000,Soft
34,T34,Aperiodic,60,0,0.3,0.3,5000,5000,5000,5000,Soft
